"Catalogue No","Short Description","ADR Number","Addition Date","SAP No","SAP Check Date","SAP Check Name","Material Owner","Status ADR","Item Status","Sync Status",INC,MGC,"Long Description","Raw Data","Service Type",UOM,Category,Cataloguer,"Cataloguer Name","Cataloguer Check Date","Std App","Std App Name","Std App Check Date","Proc App","Proc App Name","Proc App Check Date"
3383,"HEALTH SYS EVAL:A LA CARTE;HIV",ABM2018000010,"2018-09-25 01:08:21",S00000000000000011,"2018-09-25 15:08:38",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: A LA CARTE;TYPE: HIV","OCCUPATIONAL HEALTH/SAFETY:HIV",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:38",Validate,"STD APP S","2018-09-25 15:08:38",Validate,PROCUREMENT,"2018-09-25 15:08:38"
3384,"HEALTH SYS EVAL:A LA CARTE;TREADMILL",ABM2018000010,"2018-09-25 01:08:21",S00000000000000012,"2018-09-25 15:08:40",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: A LA CARTE;TREADMILL: TREADMILL","OCCUPATIONAL HEALTH/SAFETY:TREADMILL",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:40",Validate,"STD APP S","2018-09-25 15:08:40",Validate,PROCUREMENT,"2018-09-25 15:08:40"
3385,"HEALTH SYS EVAL:NAPZA",ABM2018000010,"2018-09-25 01:08:21",S00000000000000013,"2018-09-25 15:08:41",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: NAPZA;TYPE: (AMPHETAMINE, CANNABINOID, MORPHINE)","OCCUPATIONAL HEALTH/SAFETY",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:41",Validate,"STD APP S","2018-09-25 15:08:41",Validate,PROCUREMENT,"2018-09-25 15:08:41"
3386,"HEALTH SYS EVAL:WIDAL TEST",ABM2018000010,"2018-09-25 01:08:21",S00000000000000014,"2018-09-25 15:08:43",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: WIDAL TEST","OCCUPATIONAL HEALTH/SAFETY:WIDAL TEST",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:43",Validate,"STD APP S","2018-09-25 15:08:43",Validate,PROCUREMENT,"2018-09-25 15:08:43"
3387,"HEALTH SYS EVAL:CULTURE FESES",ABM2018000010,"2018-09-25 01:08:21",S00000000000000015,"2018-09-25 15:08:44",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: CULTURE FESES","OCCUPATIONAL HEALTH/SAFETY:CULTURE FESES",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:44",Validate,"STD APP S","2018-09-25 15:08:44",Validate,PROCUREMENT,"2018-09-25 15:08:44"
3388,"HEALTH SYS EVAL:PAP SMEAR",ABM2018000010,"2018-09-25 01:08:21",S00000000000000016,"2018-09-25 15:08:46",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: PAP SMEAR","OCCUPATIONAL HEALTH/SAFETY:PAP SMEAR",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:46",Validate,"STD APP S","2018-09-25 15:08:46",Validate,PROCUREMENT,"2018-09-25 15:08:46"
3389,"HEALTH SYS EVAL:TUMOR MARKER",ABM2018000010,"2018-09-25 01:08:21",S00000000000000017,"2018-09-25 15:08:47",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: TUMOR MARKER;TYPE: EARLY DETECTION","OCCUPATIONAL HEALTH/SAFETY",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:47",Validate,"STD APP S","2018-09-25 15:08:47",Validate,PROCUREMENT,"2018-09-25 15:08:47"
3390,"HEALTH SYS EVAL:PROSTAT EXAM",ABM2018000010,"2018-09-25 01:08:21",S00000000000000018,"2018-09-25 15:08:49",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: PROSTAT EXAM","OCCUPATIONAL HEALTH/SAFETY:PROSTATE EXAM",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:49",Validate,"STD APP S","2018-09-25 15:08:49",Validate,PROCUREMENT,"2018-09-25 15:08:49"
3391,"MANAGEMENT CONSULTATION, MANAGEMENT DEV",ABM2018000010,"2018-09-25 01:08:21",S00000000000000019,"2018-09-25 15:08:50",PROCUREMENT,"user abm",FINISH,ORIGIN,success,80111501,80111500,"MANAGEMENT CONSULTATION, MANAGEMENT DEV:ITEM 1: DEVELOP COMPETENCY DICTIONARY AND MATRIX FOR FINANCE AND ACCOUNTING DIVISION;ITEM 2: CONDUCT GAP ANALYSIS;ITEM 3: PREPARE TRAINING SYLLABUS AND DEVELOPMENT","MANAGEMENT CONSULTATION, MANAGEMENT DEV",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:50",Validate,"STD APP S","2018-09-25 15:08:50",Validate,PROCUREMENT,"2018-09-25 15:08:50"
3392,"HEALTH SYS EVAL:AUDIOMETRY",ABM2018000010,"2018-09-25 01:08:21",S00000000000000020,"2018-09-25 15:08:51",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: AUDIOMETRY","OCCUPATIONAL HEALTH/SAFETY:AUDIOMETRI",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:51",Validate,"STD APP S","2018-09-25 15:08:51",Validate,PROCUREMENT,"2018-09-25 15:08:51"
3393,"HEALTH SYS EVAL:SPIROMETRY",ABM2018000010,"2018-09-25 01:08:21",S00000000000000021,"2018-09-25 15:08:53",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: SPIROMETRY","OCCUPATIONAL HEALTH/SAFETY:SPIROMETRI",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:53",Validate,"STD APP S","2018-09-25 15:08:53",Validate,PROCUREMENT,"2018-09-25 15:08:53"
3394,"HEALTH SYS EVAL:GLUCOSE 2H PP",ABM2018000010,"2018-09-25 01:08:21",S00000000000000022,"2018-09-25 15:08:54",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: GLUCOSE 2H PP","OCCUPATIONAL HEALTH/SAFETY:GLUKOSA 2H PP",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:54",Validate,"STD APP S","2018-09-25 15:08:54",Validate,PROCUREMENT,"2018-09-25 15:08:54"
3395,"HEALTH SYS EVAL:MALARIA",ABM2018000010,"2018-09-25 01:08:21",S00000000000000023,"2018-09-25 15:08:56",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: MALARIA","OCCUPATIONAL HEALTH/SAFETY:MALARIA",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:56",Validate,"STD APP S","2018-09-25 15:08:56",Validate,PROCUREMENT,"2018-09-25 15:08:56"
3396,"HEALTH SYS EVAL:DRUG TEST",ABM2018000010,"2018-09-25 01:08:21",S00000000000000024,"2018-09-25 15:08:57",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: DRUG TEST","OCCUPATIONAL HEALTH/SAFETY:DRUG TEST",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:57",Validate,"STD APP S","2018-09-25 15:08:57",Validate,PROCUREMENT,"2018-09-25 15:08:57"
3397,"HEALTH SYS EVAL:MANTOUX",ABM2018000010,"2018-09-25 01:08:21",S00000000000000025,"2018-09-25 15:08:59",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: MANTOUX","OCCUPATIONAL HEALTH/SAFETY:MANTOUX",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:08:59",Validate,"STD APP S","2018-09-25 15:08:59",Validate,PROCUREMENT,"2018-09-25 15:08:59"
3398,"HEALTH SYS EVAL:LOGAM BERAT",ABM2018000010,"2018-09-25 01:08:21",S00000000000000026,"2018-09-25 15:09:00",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: LOGAM BERAT","OCCUPATIONAL HEALTH/SAFETY:LOGAM BERAT",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:00",Validate,"STD APP S","2018-09-25 15:09:00",Validate,PROCUREMENT,"2018-09-25 15:09:00"
3399,"HEALTH SYS EVAL:E1;EXECUTIVE MALE;INCL",ABM2018000010,"2018-09-25 01:08:21",S00000000000000027,"2018-09-25 15:09:02",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: E1;AGE RANGE: EXECUTIVE MALE;FASTING BLOOD SUGAR: INCL;URINE ANALYSIS: INCL;INTERVIEW ON MEDICAL HISTORY BY DOCTOR: INCL;PHYSICAL EXAMINATION: INCL;POST EXAMINATION REVIEW: INCL;MEDICAL REPORTS: INCL;BODY MASS INDEX (BMI): INCL;ECG: INCL;EXERCISE STRESS TEST: INCL;SPIROMETRY (LUNG FUNCTION ASSESSMENT): INCL;AUDIOMETRY: INCL;VISION - VISUS AND TONOMETRY (GLAUCOMA SCREEN): INCL;DIETICIAN REVIEW: INCL;DENTAL EXAMINATION: INCL;PANORAMIC X-RAY: INCL;COMPLETE HAEMATOLOGICAL PARAMETER (CBC), ABO & RH: INCL;ESR: INCL;LIVER FUNCTION TEST (SGPT, SGOT, GGT, ALK. PHOSPHATASE): INCL;KIDNEY FUNCTION TEST (UREUM, CREATININE): INCL;HBA1C: INCL;LIPID (CHOLESTEROL TOTAL, LDL, HDL, TRIGLYCERIDES): INCL;GOUT / URIC ACID: INCL;BONE MINERAL STATUS (CALCIUM AND PHOSPHATE): INCL;AGREGASI TROMBOSIT: INCL;HS CRP: INCL;THYROID SCREEN (FREE T4 & TSH): INCL;HEPATITIS B SCREENING (HBSAG + ANTI HBSAG): INCL;HEPATITIS C SCREENING (ANTI HCV): INCL;RHEUMATOID FACTOR: INCL;AFP (FOR CANCER OF LIVER): INCL;CEA (GENERAL CANCER SCREENING): INCL;CA 19-9 (FOR CANCER OF THE GASTROINTESTINAL SYSTEM): INCL;PSA (FOR CANCER OF THE PROSTATE): INCL;CHEST X-RAY: INCL;ULTRASOUND ABDOMEN AND PELVIS: INCL;BONE MINERAL DENSITOMETRY (FOR OSTEOPOROSIS): INCL","OCCUPATIONAL HEALTH/SAFETY:E1",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:02",Validate,"STD APP S","2018-09-25 15:09:02",Validate,PROCUREMENT,"2018-09-25 15:09:02"
3400,"HEALTH SYS EVAL:E2;EXECUTIVE FEMALE;INCL",ABM2018000010,"2018-09-25 01:08:21",S00000000000000028,"2018-09-25 15:09:03",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:PACKAGED TYPE: E2;AGE RANGE: EXECUTIVE FEMALE;FASTING BLOOD SUGAR: INCL;URINE ANALYSIS: INCL;INTERVIEW ON MEDICAL HISTORY BY DOCTOR: INCL;PHYSICAL EXAMINATION: INCL;POST EXAMINATION REVIEW: INCL;MEDICAL REPORTS: INCL;BODY MASS INDEX (BMI): INCL;ECG: INCL;EXERCISE STRESS TEST: INCL;SPIROMETRY (LUNG FUNCTION ASSESSMENT): INCL;AUDIOMETRY: INCL;VISION - VISUS AND TONOMETRY (GLAUCOMA SCREEN): INCL;THIN PREP PAP TEST: INCL;DIETICIAN REVIEW: INCL;DENTAL EXAMINATION: INCL;PANORAMIC X-RAY: INCL;COMPLETE HAEMATOLOGICAL PARAMETER (CBC), ABO & RH: INCL;ESR: INCL;LIVER FUNCTION TEST (SGPT, SGOT, GGT, ALK. PHOSPHATASE): INCL;KIDNEY FUNCTION TEST (UREUM, CREATININE): INCL;HBA1C: INCL;LIPID (CHOLESTEROL TOTAL, LDL, HDL, TRIGLYCERIDES): INCL;GOUT / URIC ACID: INCL;BONE MINERAL STATUS (CALCIUM AND PHOSPHATE): INCL;AGREGASI TROMBOSIT: INCL;HS CRP: INCL;THYROID SCREEN (FREE T4 & TSH): INCL;FSH: INCL;EKSTRADIOL: INCL;HEPATITIS B SCREENING (HBSAG + ANTI HBSAG): INCL;HEPATITIS C SCREENING (ANTI HCV): INCL;RHEUMATOID FACTOR: INCL;AFP (FOR CANCER OF LIVER): INCL;CEA (GENERAL CANCER SCREENING): INCL;CA 19-9 (FOR CANCER OF THE GASTROINTESTINAL SYSTEM): INCL;CA 15-3 (FOR CANCER OF BREAST): INCL;CA 125 (FOR CANCER OF OVARY): INCL;CHEST X-RAY: INCL;ULTRASOUND ABDOMEN AND PELVIS: INCL;ABVS (AUTOMATED BREAST VOLUME SCANNER) / USG BREAST (FEMALE): INCL;BONE MINERAL DENSITOMETRY (FOR OSTEOPOROSIS): INCL","OCCUPATIONAL HEALTH/SAFETY:E2",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:03",Validate,"STD APP S","2018-09-25 15:09:03",Validate,PROCUREMENT,"2018-09-25 15:09:03"
3401,"MANAGEMENT CONSULTATION, TAX TRAINING",ABM2018000010,"2018-09-25 01:08:21",S00000000000000029,"2018-09-25 15:09:05",PROCUREMENT,"user abm",FINISH,ORIGIN,success,80111511,80111500,"MANAGEMENT CONSULTATION, TAX TRAINING:ITEM 1: UNDERSTANDING TAX TREATY;ITEM 2: TAX REVIEW FOR COMMERCIAL CONTRACT;ITEM 3: ASSESSING INTERNAL COMPARABLE;ITEM 4: UPDATE TAX AUDIT PROCESS (TENTATIVE)","MANAGEMENT CONSULTATION, TAX TRAINING",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:05",Validate,"STD APP S","2018-09-25 15:09:05",Validate,PROCUREMENT,"2018-09-25 15:09:05"
3402,"HEALTH SYS EVAL:RECTAL SWAB",ABM2018000010,"2018-09-25 01:08:21",S00000000000000030,"2018-09-25 15:09:06",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,85101707,85101700,"HEALTH SYS EVAL:TYPE: RECTAL SWAB","OCCUPATIONAL HEALTH/SAFETY:RECTAL SWAB",ZSER,LOT,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:06",Validate,"STD APP S","2018-09-25 15:09:06",Validate,PROCUREMENT,"2018-09-25 15:09:06"
3403,"CATERING:MORNING;MEALS;OPS SITE",ABM2018000010,"2018-09-25 01:08:21",S00000000000000031,"2018-09-25 15:09:07",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,90101603,90101600,"CATERING:SERVICE TYPE: MORNING;PRODUCT SERVICE: MEALS;AREA: OPS SITE","CATERING SERVICES:PAGI",ZSER,PAK,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:07",Validate,"STD APP S","2018-09-25 15:09:07",Validate,PROCUREMENT,"2018-09-25 15:09:07"
3404,"CATERING:DAYTIME;MEALS;OPS SITE",ABM2018000010,"2018-09-25 01:08:21",S00000000000000032,"2018-09-25 15:09:09",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,90101603,90101600,"CATERING:SERVICE TYPE: DAYTIME;PRODUCT SERVICE: MEALS;AREA: OPS SITE","CATERING SERVICES:SIANG",ZSER,PAK,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:09",Validate,"STD APP S","2018-09-25 15:09:09",Validate,PROCUREMENT,"2018-09-25 15:09:09"
3405,"CATERING:NIGHT;MEALS;OPS SITE",ABM2018000010,"2018-09-25 01:08:21",S00000000000000033,"2018-09-25 15:09:10",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,90101603,90101600,"CATERING:SERVICE TYPE: NIGHT;PRODUCT SERVICE: MEALS;AREA: OPS SITE","CATERING SERVICES:MALAM",ZSER,PAK,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:10",Validate,"STD APP S","2018-09-25 15:09:10",Validate,PROCUREMENT,"2018-09-25 15:09:10"
3406,"CATERING:OVERNIGHT;MEALS;OPS SITE",ABM2018000010,"2018-09-25 01:08:21",S00000000000000034,"2018-09-25 15:09:11",PROCUREMENT,"user abm",FINISH,"REVISION 1",success,90101603,90101600,"CATERING:SERVICE TYPE: OVERNIGHT;PRODUCT SERVICE: MEALS;AREA: OPS SITE","CATERING SERVICES:TENGAH MALAM",ZSER,PAK,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:11",Validate,"STD APP S","2018-09-25 15:09:11",Validate,PROCUREMENT,"2018-09-25 15:09:11"
3407,"LAUNDRY SERVICES",ABM2018000010,"2018-09-25 01:08:21",S00000000000000035,"2018-09-25 15:09:12",PROCUREMENT,"user abm",FINISH,ORIGIN,success,91111502,91111500,"LAUNDRY SERVICES","LAUNDRY SERVICES",ZSER,PAK,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:12",Validate,"STD APP S","2018-09-25 15:09:12",Validate,PROCUREMENT,"2018-09-25 15:09:12"
3408,"HOUSEKEEPING SERVICES",ABM2018000010,"2018-09-25 01:08:21",S00000000000000036,"2018-09-25 15:09:13",PROCUREMENT,"user abm",FINISH,ORIGIN,success,91111601,91111600,"HOUSEKEEPING SERVICES","HOUSEKEEPING SERVICES",ZSER,PAK,S,Validate,"Muhammad Taqi Husaini","2018-09-25 15:09:13",Validate,"STD APP S","2018-09-25 15:09:13",Validate,PROCUREMENT,"2018-09-25 15:09:13"
